name,x,y,distance_to_0,distance_to_1,distance_to_2,distance_to_3,distance_to_4,distance_to_5,distance_to_6,distance_to_7,distance_to_8,distance_to_9,distance_to_10,distance_to_11,distance_to_12,distance_to_13,distance_to_14,distance_to_15,distance_to_16,distance_to_17,distance_to_18,distance_to_19,distance_to_20,distance_to_21,distance_to_22,distance_to_23,distance_to_24,distance_to_25,distance_to_26,distance_to_27,distance_to_28,distance_to_29,distance_to_30,distance_to_31,distance_to_32,distance_to_33,distance_to_34
Acko,4090.939060172666,0.0,0.0,0.09750220856654393,0.02032300069844693,0.3653049536607264,1.5830417043651512,1.704113724668554,2.867270364676512,2.7855031187713815,2.9511418626863763,3.6033475232607115,3.5614141608903935,2.953788201695912,2.663289004899771,2.5413410862679813,2.1864586618218134,1.830893858190353,1.5815118856237185,1.0317608549527524,0.9460585159721575,0.8062138259232302,0.29043768099548517,0.7311881839246341,0.6390518678347518,1.6686299425337494,1.4236568399309206,1.2937164857753658,1.219775957527369,1.2621096579704576,1.3520597923401654,1.422619184124424,1.7517499021060674,1.802295431900517,1.8013841414891785,1.6851958149346384,1.8025568873929407
Ddy Baba,4091.013802771521,0.14625465174723737,0.09750220856654393,0.0,0.11782520926499086,0.26780274509418245,1.4855394957986068,1.6066115161020103,2.7697681561099685,2.6880009102048374,2.853639654119832,3.5058453146941675,3.4639119523238495,2.8562859931293674,2.565786796333227,2.4438388777014373,2.08895645325527,1.7333916496238093,1.4840096770571745,0.9342586463862086,0.8485563074056135,0.7087116173566863,0.19293547242894127,0.6336859753580902,0.5415496592682078,1.5711277339672058,1.3261546313643764,1.1962142772088218,1.122273748960825,1.1646074494039138,1.2545575837736214,1.32511697555788,1.6542476935395238,1.7047932233339727,1.7038819329226347,1.5876936063680949,1.7050546788263967
Restaurace na Palube,4090.9234047319214,-0.7870164288288216,0.02032300069844693,0.11782520926499086,0.0,0.38562795435917335,1.6033647050635977,1.7244367253670012,2.887593365374959,2.8058261194698284,2.9714648633848233,3.6236705239591576,3.58173716158884,2.9741112023943583,2.683612005598218,2.561664086966428,2.2067816625202608,1.8512168588888003,1.6018348863221654,1.0520838556511996,0.9663815166706043,0.826536826621677,0.3107606816939321,0.7515111846230811,0.6593748685331987,1.6889529432321964,1.4439798406293674,1.3140394864738125,1.2400989582258157,1.2824326586689045,1.372382793038612,1.442942184822871,1.7720729028045148,1.8226184325989638,1.8217071421876254,1.7055188156330858,1.8228798880913875
Restaurant Fregata,4091.218980815662,-0.9796085298872789,0.3653049536607264,0.26780274509418245,0.38562795435917335,0.0,1.2177367507044243,1.3388087710078276,2.501965411015786,2.420198165110655,2.5858369090256494,3.2380425695999846,3.196109207229667,2.588483248035185,2.2979840512390446,2.176036132607255,1.8211537081610871,1.4655889045296269,1.2162069319629922,0.6664559012920261,0.580753562311431,0.4409088722625037,0.07486727266524122,0.3658832302639077,0.27374691417402525,1.3033249888730232,1.0583518862701942,0.9284115321146394,0.8544710038666424,0.8968047043097311,0.9867548386794389,1.0573142304636978,1.3864449484453414,1.4369904782397904,1.436079187828452,1.3198908612739124,1.4372519337322143
Pardubicky Pivovar,4092.1524768763225,-0.45116501875959253,1.5830417043651512,1.4855394957986068,1.6033647050635977,1.2177367507044243,0.0,0.12107202030340339,1.2842286603113615,1.2024614144062307,1.3681001583212253,2.0203058188955603,1.9783724565252427,1.3707464973307604,1.0802473005346203,0.9582993819028305,0.6034169574566629,0.2478521538252024,0.0015298187414323988,0.5512808494123983,0.6369831883929933,0.7768278784419207,1.2926040233696656,0.8518535204405167,0.9439898365303991,0.08558823816859873,0.1593848644342303,0.28932521858978494,0.36326574683778196,0.3209320463946932,0.23098191202498555,0.16042252024072684,0.16870819774091692,0.21925372753536598,0.21834243712402776,0.10215411056948798,0.21951518302778994
Pivni Ambasada,4092.2452897808057,0.2277553083573427,1.704113724668554,1.6066115161020103,1.7244367253670012,1.3388087710078276,0.12107202030340339,0.0,1.1631566400079583,1.081389394102827,1.247028138017822,1.899233798592157,1.8573004362218393,1.2496744770273571,0.9591752802312168,0.837227361599427,0.4823449371532594,0.12678013352179898,0.1226018390448358,0.6723528697158017,0.7580552086963966,0.8978998987453242,1.4136760436730693,0.9729255407439201,1.0650618568338026,0.03548378213480467,0.28045688473763375,0.41039723889318835,0.4843377671411853,0.44200406669809655,0.35205393232838894,0.2814945405441302,0.04763617743751352,0.09818170723196258,0.09727041682062436,0.01891790973391543,0.09844316272438655
Restaurace Derby,4093.1366292624652,-0.8126747539777481,2.867270364676512,2.7697681561099685,2.887593365374959,2.501965411015786,1.2842286603113615,1.1631566400079583,0.0,0.0817672459051309,0.08387149800986385,0.736077158584199,0.6941437962138811,0.08651783701939897,0.2039813597767414,0.3259292784085312,0.6808117028546988,1.0363765064861592,1.285758479052794,1.8355095097237597,1.9212118487043548,2.0610565387532827,2.576832683681027,2.1360821807518784,2.2282184968417607,1.1986404221427627,1.443613524745592,1.5735538789011467,1.647494407149143,1.6051607067060547,1.5152105723363472,1.4446511805520885,1.1155204625704447,1.0649749327759956,1.0658862231873338,1.1820745497418736,1.0647134772835716
Restaurace pod Konem,4093.074038563983,-0.3066169377262145,2.7855031187713815,2.6880009102048374,2.8058261194698284,2.420198165110655,1.2024614144062307,1.081389394102827,0.0817672459051309,0.0,0.16563874391499478,0.8178444044893298,0.775911042119012,0.16828508292452987,0.12221411387161049,0.24416203250340027,0.5990444569495679,0.9546092605810282,1.203991233147663,1.753742263818629,1.839444602799224,1.9792892928481511,2.4950654377758963,2.0543149348467473,2.1464512509366296,1.116873176237632,1.3618462788404608,1.4917866329960157,1.5657271612440127,1.5233934608009239,1.4334433264312163,1.3628839346469575,1.0337532166653138,0.9832076868708648,0.9841189772822029,1.1003073038367426,0.9829462313784407
U Kapitina,4093.2009775598017,0.18320779354690736,2.9511418626863763,2.853639654119832,2.9714648633848233,2.5858369090256494,1.3681001583212253,1.247028138017822,0.08387149800986385,0.16563874391499478,0.0,0.652205660574335,0.6102722982040172,0.002646339009535132,0.2878528577866053,0.4098007764183951,0.7646832008645628,1.120248004496023,1.3696299770626577,1.9193810077336237,2.005083346714219,2.144928036763146,2.660704181690891,2.219953678761742,2.312089994851625,1.2825119201526267,1.5274850227554557,1.65742537691101,1.7313659051590073,1.6890322047159188,1.599082070346211,1.5285226785619521,1.1993919605803085,1.1488464307858595,1.1497577211971977,1.2659460477517375,1.1485849752934356
Restaurace Na Rozkosi U Kulate Baby,4093.700742653362,0.2512634994410464,3.6033475232607115,3.5058453146941675,3.6236705239591576,3.2380425695999846,2.0203058188955603,1.899233798592157,0.736077158584199,0.8178444044893298,0.652205660574335,0.0,0.041933362370317875,0.6495593215647999,0.9400585183609403,1.06200643699273,1.4168888614388977,1.772453665070358,2.021835637636993,2.5715866683079587,2.6572890072885538,2.797133697337481,3.312909842265226,2.872159339336077,2.9642956554259596,1.9347175807269619,2.179690683329791,2.309631037485345,2.3835715657333423,2.3412378652902537,2.251287730920546,2.1807283391362873,1.8515976211546434,1.8010520913601944,1.8019633817715328,1.9181517083260724,1.8007906358677703
